name,url
Design Systems,https://www.svgrepo.com/show/439139/design-systems.svg
Developer Console,https://www.svgrepo.com/show/439140/developer-console.svg
Destructuring,https://www.svgrepo.com/show/439141/destructuring.svg
Dijkstras Algorithm,https://www.svgrepo.com/show/439142/dijkstras-algorithm.svg
Device Orientation And Motion,https://www.svgrepo.com/show/439143/device-orientation-and-motion.svg
Discoverable Content,https://www.svgrepo.com/show/439144/discoverable-content.svg
Docker,https://www.svgrepo.com/show/439145/docker.svg
Documentation,https://www.svgrepo.com/show/439146/documentation.svg
Dom,https://www.svgrepo.com/show/439147/dom.svg
Dom Manipulation,https://www.svgrepo.com/show/439148/dom-manipulation.svg
Dynamic Import,https://www.svgrepo.com/show/439149/dynamic-import.svg
Er Diagram,https://www.svgrepo.com/show/439150/er-diagram.svg
Eslint,https://www.svgrepo.com/show/439151/eslint.svg
Error Handling,https://www.svgrepo.com/show/439152/error-handling.svg
Event Loop,https://www.svgrepo.com/show/439153/event-loop.svg
Events,https://www.svgrepo.com/show/439154/events.svg
Express,https://www.svgrepo.com/show/439155/express.svg
Fetch,https://www.svgrepo.com/show/439156/fetch.svg
First Meaningful Paint,https://www.svgrepo.com/show/439157/first-meaningful-paint.svg
Flex,https://www.svgrepo.com/show/439158/flex.svg
First Cpu Idle,https://www.svgrepo.com/show/439159/first-cpu-idle.svg
Focus,https://www.svgrepo.com/show/439160/focus.svg
Fluent Design,https://www.svgrepo.com/show/439161/fluent-design.svg
Font Size,https://www.svgrepo.com/show/439162/font-size.svg
Form Participation,https://www.svgrepo.com/show/439163/form-participation.svg
Fullscreen,https://www.svgrepo.com/show/439164/fullscreen.svg
Forms,https://www.svgrepo.com/show/439165/forms.svg
Functional Programming,https://www.svgrepo.com/show/439166/functional-programming.svg
Functional Dependencies,https://www.svgrepo.com/show/439167/functional-dependencies.svg
Generators,https://www.svgrepo.com/show/439168/generators.svg
Gecko,https://www.svgrepo.com/show/439169/gecko.svg
Gamepad Api,https://www.svgrepo.com/show/439170/gamepad-api.svg
Github,https://www.svgrepo.com/show/439171/github.svg
Geolocation,https://www.svgrepo.com/show/439172/geolocation.svg
Git,https://www.svgrepo.com/show/439173/git.svg
Gnu Linux,https://www.svgrepo.com/show/439174/gnu-linux.svg
Graphql,https://www.svgrepo.com/show/439175/graphql.svg
Graphs,https://www.svgrepo.com/show/439176/graphs.svg
Grid,https://www.svgrepo.com/show/439177/grid.svg
Hashing,https://www.svgrepo.com/show/439178/hashing.svg
Hash Tables,https://www.svgrepo.com/show/439179/hash-tables.svg
Heap,https://www.svgrepo.com/show/439180/heap.svg
Heapsort,https://www.svgrepo.com/show/439181/heapsort.svg
Heap (1),https://www.svgrepo.com/show/439182/heap-1.svg
History Api,https://www.svgrepo.com/show/439183/history-api.svg
Higher Order Functions,https://www.svgrepo.com/show/439184/higher-order-functions.svg
Hit Targets,https://www.svgrepo.com/show/439185/hit-targets.svg
Houdini,https://www.svgrepo.com/show/439186/houdini.svg
Html Templates,https://www.svgrepo.com/show/439187/html-templates.svg
Images,https://www.svgrepo.com/show/439188/images.svg
Https,https://www.svgrepo.com/show/439189/https.svg
Http,https://www.svgrepo.com/show/439190/http.svg
Http 2,https://www.svgrepo.com/show/439191/http-2.svg
Insertion Sort,https://www.svgrepo.com/show/439192/insertion-sort.svg
Indexing,https://www.svgrepo.com/show/439193/indexing.svg
Integration Testing,https://www.svgrepo.com/show/439194/integration-testing.svg
Intersection Observer,https://www.svgrepo.com/show/439195/intersection-observer.svg
Interaction Media Queries,https://www.svgrepo.com/show/439196/interaction-media-queries.svg
Intl,https://www.svgrepo.com/show/439197/intl.svg
Jasmine,https://www.svgrepo.com/show/439198/jasmine.svg
Kanban,https://www.svgrepo.com/show/439199/kanban.svg
Karma,https://www.svgrepo.com/show/439200/karma.svg
K D Tree,https://www.svgrepo.com/show/439201/k-d-tree.svg
Keyboard Accessibility,https://www.svgrepo.com/show/439202/keyboard-accessibility.svg
Keys,https://www.svgrepo.com/show/439203/keys.svg
Layers,https://www.svgrepo.com/show/439204/layers.svg
Largest Contentful Paint,https://www.svgrepo.com/show/439205/largest-contentful-paint.svg
Laws And Policies,https://www.svgrepo.com/show/439206/laws-and-policies.svg
Layout Trashing,https://www.svgrepo.com/show/439207/layout-trashing.svg
Layout,https://www.svgrepo.com/show/439208/layout.svg
Lazy Loading,https://www.svgrepo.com/show/439209/lazy-loading.svg
Lighthouse,https://www.svgrepo.com/show/439210/lighthouse.svg
Linked Lists,https://www.svgrepo.com/show/439211/linked-lists.svg
Line Spacing,https://www.svgrepo.com/show/439212/line-spacing.svg
Linters And Formatters,https://www.svgrepo.com/show/439213/linters-and-formatters.svg
Loading,https://www.svgrepo.com/show/439214/loading.svg
Lit Element,https://www.svgrepo.com/show/439215/lit-element.svg
Locks,https://www.svgrepo.com/show/439216/locks.svg
Margin Collapsing,https://www.svgrepo.com/show/439217/margin-collapsing.svg
Manual Testing,https://www.svgrepo.com/show/439218/manual-testing.svg
Material Design,https://www.svgrepo.com/show/439219/material-design.svg
Media Recorder,https://www.svgrepo.com/show/439220/media-recorder.svg
Media Queries,https://www.svgrepo.com/show/439221/media-queries.svg
Mergesort,https://www.svgrepo.com/show/439222/mergesort.svg
Microtask,https://www.svgrepo.com/show/439223/microtask.svg
Media Streams,https://www.svgrepo.com/show/439224/media-streams.svg
Middleware,https://www.svgrepo.com/show/439225/middleware.svg
Mocha,https://www.svgrepo.com/show/439226/mocha.svg
Mobile First,https://www.svgrepo.com/show/439227/mobile-first.svg
Module Bundlers,https://www.svgrepo.com/show/439228/module-bundlers.svg
Modules,https://www.svgrepo.com/show/439229/modules.svg
Monads,https://www.svgrepo.com/show/439230/monads.svg
Mongodb,https://www.svgrepo.com/show/439231/mongodb.svg
Mutation Observer,https://www.svgrepo.com/show/439232/mutation-observer.svg
Mysql,https://www.svgrepo.com/show/439233/mysql.svg
Native File System,https://www.svgrepo.com/show/439234/native-file-system.svg
Network Information Api,https://www.svgrepo.com/show/439235/network-information-api.svg
Non Relational Databases,https://www.svgrepo.com/show/439236/non-relational-databases.svg
Normal Forms,https://www.svgrepo.com/show/439237/normal-forms.svg
Nodejs,https://www.svgrepo.com/show/439238/nodejs.svg
Normalization,https://www.svgrepo.com/show/439239/normalization.svg
Npm,https://www.svgrepo.com/show/439240/npm.svg
Object Oriented Programming,https://www.svgrepo.com/show/439241/object-oriented-programming.svg
Npm Scripts,https://www.svgrepo.com/show/439242/npm-scripts.svg
Observer,https://www.svgrepo.com/show/439243/observer.svg
Objects,https://www.svgrepo.com/show/439244/objects.svg
Observers,https://www.svgrepo.com/show/439245/observers.svg
Offline First,https://www.svgrepo.com/show/439246/offline-first.svg
Offscreen Images,https://www.svgrepo.com/show/439247/offscreen-images.svg
Oocss,https://www.svgrepo.com/show/439248/oocss.svg
Order Of Growth,https://www.svgrepo.com/show/439249/order-of-growth.svg
Overflow,https://www.svgrepo.com/show/439250/overflow.svg
Owasp,https://www.svgrepo.com/show/439251/owasp.svg
Package Managers,https://www.svgrepo.com/show/439252/package-managers.svg
Paint Areas,https://www.svgrepo.com/show/439253/paint-areas.svg
Parcel,https://www.svgrepo.com/show/439254/parcel.svg
Peer To Peer,https://www.svgrepo.com/show/439255/peer-to-peer.svg
Payment Request Api,https://www.svgrepo.com/show/439256/payment-request-api.svg
Performance Api,https://www.svgrepo.com/show/439257/performance-api.svg
Performance Budgets,https://www.svgrepo.com/show/439258/performance-budgets.svg
Performance Observer,https://www.svgrepo.com/show/439259/performance-observer.svg
Performance Metrics,https://www.svgrepo.com/show/439260/performance-metrics.svg
Picture In Picture,https://www.svgrepo.com/show/439261/picture-in-picture.svg
Performance Testing,https://www.svgrepo.com/show/439262/performance-testing.svg
Pika,https://www.svgrepo.com/show/439263/pika.svg
Pointer Events,https://www.svgrepo.com/show/439264/pointer-events.svg
